character,tag,count,novel
Abraham,N,10,The_Mysteries_of_London2
Abraham,C,3,The_Mysteries_of_London2
Abraham,I,1,The_Mysteries_of_London2
Abraham,A,2,The_Mysteries_of_London2
Abraham,DC,6,The_Mysteries_of_London2
Abraham,DN,0,The_Mysteries_of_London2
Adeline,N,442,The_Mysteries_of_London2
Adeline,C,282,The_Mysteries_of_London2
Adeline,I,219,The_Mysteries_of_London2
Adeline,A,377,The_Mysteries_of_London2
Adeline,DC,176,The_Mysteries_of_London2
Adeline,DN,41,The_Mysteries_of_London2
Aischa,N,11,The_Mysteries_of_London2
Aischa,C,4,The_Mysteries_of_London2
Aischa,I,1,The_Mysteries_of_London2
Aischa,A,2,The_Mysteries_of_London2
Aischa,DC,4,The_Mysteries_of_London2
Aischa,DN,0,The_Mysteries_of_London2
Alack,N,5,The_Mysteries_of_London2
Alack,C,0,The_Mysteries_of_London2
Alack,I,0,The_Mysteries_of_London2
Alack,A,0,The_Mysteries_of_London2
Alack,DC,0,The_Mysteries_of_London2
Alack,DN,0,The_Mysteries_of_London2
Alberto,N,9,The_Mysteries_of_London2
Alberto,C,6,The_Mysteries_of_London2
Alberto,I,0,The_Mysteries_of_London2
Alberto,A,4,The_Mysteries_of_London2
Alberto,DC,0,The_Mysteries_of_London2
Alberto,DN,1,The_Mysteries_of_London2
Angelo III,N,7,The_Mysteries_of_London2
Angelo III,C,0,The_Mysteries_of_London2
Angelo III,I,0,The_Mysteries_of_London2
Angelo III,A,0,The_Mysteries_of_London2
Angelo III,DC,2,The_Mysteries_of_London2
Angelo III,DN,0,The_Mysteries_of_London2
Ankarstrom,N,5,The_Mysteries_of_London2
Ankarstrom,C,0,The_Mysteries_of_London2
Ankarstrom,I,1,The_Mysteries_of_London2
Ankarstrom,A,1,The_Mysteries_of_London2
Ankarstrom,DC,5,The_Mysteries_of_London2
Ankarstrom,DN,1,The_Mysteries_of_London2
Anna,N,4,The_Mysteries_of_London2
Anna,C,0,The_Mysteries_of_London2
Anna,I,1,The_Mysteries_of_London2
Anna,A,6,The_Mysteries_of_London2
Anna,DC,2,The_Mysteries_of_London2
Anna,DN,3,The_Mysteries_of_London2
Anson,N,5,The_Mysteries_of_London2
Anson,C,0,The_Mysteries_of_London2
Anson,I,0,The_Mysteries_of_London2
Anson,A,3,The_Mysteries_of_London2
Anson,DC,5,The_Mysteries_of_London2
Anson,DN,0,The_Mysteries_of_London2
Armstrong,N,7,The_Mysteries_of_London2
Armstrong,C,0,The_Mysteries_of_London2
Armstrong,I,1,The_Mysteries_of_London2
Armstrong,A,0,The_Mysteries_of_London2
Armstrong,DC,1,The_Mysteries_of_London2
Armstrong,DN,0,The_Mysteries_of_London2
Banks,N,120,The_Mysteries_of_London2
Banks,C,79,The_Mysteries_of_London2
Banks,I,48,The_Mysteries_of_London2
Banks,A,87,The_Mysteries_of_London2
Banks,DC,47,The_Mysteries_of_London2
Banks,DN,4,The_Mysteries_of_London2
Baron Torkemdef,N,9,The_Mysteries_of_London2
Baron Torkemdef,C,8,The_Mysteries_of_London2
Baron Torkemdef,I,2,The_Mysteries_of_London2
Baron Torkemdef,A,3,The_Mysteries_of_London2
Baron Torkemdef,DC,1,The_Mysteries_of_London2
Baron Torkemdef,DN,1,The_Mysteries_of_London2
Bazzano,N,57,The_Mysteries_of_London2
Bazzano,C,18,The_Mysteries_of_London2
Bazzano,I,13,The_Mysteries_of_London2
Bazzano,A,35,The_Mysteries_of_London2
Bazzano,DC,39,The_Mysteries_of_London2
Bazzano,DN,3,The_Mysteries_of_London2
Beaumont,N,17,The_Mysteries_of_London2
Beaumont,C,0,The_Mysteries_of_London2
Beaumont,I,7,The_Mysteries_of_London2
Beaumont,A,18,The_Mysteries_of_London2
Beaumont,DC,0,The_Mysteries_of_London2
Beaumont,DN,3,The_Mysteries_of_London2
Benstead,N,63,The_Mysteries_of_London2
Benstead,C,47,The_Mysteries_of_London2
Benstead,I,31,The_Mysteries_of_London2
Benstead,A,43,The_Mysteries_of_London2
Benstead,DC,24,The_Mysteries_of_London2
Benstead,DN,2,The_Mysteries_of_London2
Bergami,N,5,The_Mysteries_of_London2
Bergami,C,0,The_Mysteries_of_London2
Bergami,I,0,The_Mysteries_of_London2
Bergami,A,2,The_Mysteries_of_London2
Bergami,DC,0,The_Mysteries_of_London2
Bergami,DN,4,The_Mysteries_of_London2
Blackley,N,9,The_Mysteries_of_London2
Blackley,C,0,The_Mysteries_of_London2
Blackley,I,0,The_Mysteries_of_London2
Blackley,A,5,The_Mysteries_of_London2
Blackley,DC,13,The_Mysteries_of_London2
